invoice_date,date_processed,invoice_id,vendor_name,invoice_total,payment_status
2026-04-02,2026-04-03,INV-2026-001,Acme Pool Supplies,2450.5,PAID
2026-04-10,2026-04-11,INV-2026-002,Blue Wave Chemicals,1822.35,UNPAID
2026-04-18,2026-04-19,INV-2026-003,ClearWater Filtration,3400.0,PAID
2026-03-05,2026-03-06,INV-2026-004,Sunbelt Motors,1250.0,PAID
2026-03-12,2026-03-13,INV-2026-005,AquaTech Pumps,980.5,UNPAID
2026-03-20,2026-03-21,INV-2026-006,Apex Pool Lighting,430.0,PAID
2026-02-01,2026-02-02,INV-2026-007,HydroMax Valves,1120.0,UNPAID
2026-02-14,2026-02-15,INV-2026-008,Precision Pipes,650.25,PAID
2026-02-28,2026-03-01,INV-2026-009,PoolPro Heaters,3100.0,UNPAID
2026-01-10,2026-01-11,INV-2026-010,Cascade Tile & Stone,1850.0,PAID
2026-01-22,2026-01-23,INV-2026-011,SafeGuard Fencing,2200.0,PAID
2025-12-05,2025-12-06,INV-2025-012,EcoChlor Systems,890.0,UNPAID
2025-12-18,2025-12-19,INV-2025-013,DeepBlue Covers,1450.0,PAID
2025-11-10,2025-11-11,INV-2025-014,Vortex Drain & Grate,320.0,UNPAID
2025-11-25,2025-11-26,INV-2025-015,Oasis Automation Inc,2780.0,PAID
